,article_name,country,revision_id,article_quality,population
248,William Harper (Rhodesian politician),Zimbabwe,784870217,GA,17354000
249,Rowan Cronjé,Zimbabwe,784974615,GA,17354000
250,Edgar Whitehead,Zimbabwe,786601705,Start,17354000
251,Henry Hamilton Beamish,Zimbabwe,786659504,Start,17354000
252,Josiah Tongogara,Zimbabwe,786913202,C,17354000
253,Lionel Cripps,Zimbabwe,787105083,Start,17354000
254,A. R. Colquhoun,Zimbabwe,787147677,Start,17354000
255,Naison Ndlovu,Zimbabwe,787854175,Stub,17354000
256,John McChlery,Zimbabwe,787854502,Stub,17354000
257,Enos Mdlongwa,Zimbabwe,787854640,Stub,17354000
258,Lindiwe Majele Sibanda,Zimbabwe,788247480,Start,17354000
259,Ndabaningi Sithole,Zimbabwe,788291899,C,17354000
260,Ambrose Mutinhiri,Zimbabwe,788777043,Stub,17354000
261,Judith Todd,Zimbabwe,788792548,Start,17354000
262,Andrew Langa,Zimbabwe,789094827,Stub,17354000
263,Christopher Kuruneri,Zimbabwe,789427326,Start,17354000
264,Jeremiah Chirau,Zimbabwe,789545107,Start,17354000
265,Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,Stub,17354000
266,Swithun Mombeshora,Zimbabwe,789545179,Stub,17354000
267,Oppah Muchinguri,Zimbabwe,789545185,Stub,17354000
268,Samuel Mumbengegwi,Zimbabwe,789545206,Start,17354000
269,Chris Mushohwe,Zimbabwe,789545212,Stub,17354000
270,Giles Mutsekwa,Zimbabwe,789545214,Stub,17354000
271,Francis Nhema,Zimbabwe,789545220,Stub,17354000
272,Mike Nyambuya,Zimbabwe,789545233,Stub,17354000
273,Winston Field,Zimbabwe,789689591,Start,17354000
274,Solomon Mujuru,Zimbabwe,789898624,C,17354000
275,Ronald Penza,Zimbabwe,789948565,Stub,17354000
276,Joseph Made,Zimbabwe,789965571,Start,17354000
277,Howard Unwin Moffat,Zimbabwe,790010191,Start,17354000
278,Evelyn Masaiti,Zimbabwe,790034879,Stub,17354000
279,Jessie Majome,Zimbabwe,790035057,Start,17354000
280,Theresa Makoni,Zimbabwe,790423262,Stub,17354000
281,List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,Stub,17354000
282,Blessing Chebundo,Zimbabwe,791690130,Start,17354000
283,George Charamba,Zimbabwe,793738070,Start,17354000
284,Chenhanho Chimutengwende,Zimbabwe,793820850,Start,17354000
285,Ken Flower,Zimbabwe,794528943,Start,17354000
286,Simon Muzenda,Zimbabwe,794934380,Start,17354000
287,Witness Mangwende,Zimbabwe,794934451,Start,17354000
288,Nathan Shamuyarira,Zimbabwe,794934469,C,17354000
289,Joseph Makamba Busha,Zimbabwe,795007156,Stub,17354000
290,Walter Chidakwa,Zimbabwe,795247525,Stub,17354000
291,Andrew Skeen (Rhodesia),Zimbabwe,795348776,Stub,17354000
292,Hugh Beadle,Zimbabwe,795369277,FA,17354000
293,Hugh Marshall Hole,Zimbabwe,795483112,Start,17354000
294,Maxwell Zeb Shumba,Zimbabwe,795637625,Start,17354000
295,Henry Madzorera,Zimbabwe,795846349,Stub,17354000
296,First Lady of Zimbabwe,Zimbabwe,796477244,Stub,17354000
297,Charles Shanyurai Majange,Zimbabwe,796608492,Stub,17354000
298,Elleck Mashingaidze,Zimbabwe,796726442,Stub,17354000
299,Phillip Chiyangwa,Zimbabwe,797170378,Start,17354000
300,Chenjerai Hunzvi,Zimbabwe,797225827,C,17354000
301,Roy Welensky,Zimbabwe,797314307,FA,17354000
302,Abel Muzorewa,Zimbabwe,797407618,C,17354000
303,Edward Chindori-Chininga,Zimbabwe,797414978,Start,17354000
304,Signatories of Rhodesia's Unilateral Declaration of Independence,Zimbabwe,797546082,Start,17354000
305,Arthur Mutambara,Zimbabwe,797932659,C,17354000
306,Edgar Tekere,Zimbabwe,798106157,C,17354000
307,Psychology Maziwisa,Zimbabwe,798140615,C,17354000
308,Isaac Matongo,Zimbabwe,798248963,Stub,17354000
309,Jack Howman,Zimbabwe,798384751,Stub,17354000
310,Julia Tukai Zvobgo,Zimbabwe,798468363,C,17354000
311,Ethel Tawse Jollie,Zimbabwe,798492985,Start,17354000
312,Jameson Timba,Zimbabwe,799326094,Stub,17354000
313,Alan David Butler,Zimbabwe,799332728,Start,17354000
314,Ben Ncube,Zimbabwe,799405378,Stub,17354000
315,Obedingwa Mguni,Zimbabwe,799406056,Stub,17354000
316,Jack William Pithey,Zimbabwe,799548505,Start,17354000
317,President of Rhodesia,Zimbabwe,799548556,Start,17354000
318,Denis Norman,Zimbabwe,799605293,Start,17354000
319,Denis Walker,Zimbabwe,799608339,C,17354000
320,Japhet Ndabeni Ncube,Zimbabwe,800407734,Stub,17354000
321,James Cowden,Zimbabwe,800407772,Stub,17354000
322,Nicholas Mabodoko,Zimbabwe,800407872,Stub,17354000
323,Herbert Chitepo,Zimbabwe,800416336,C,17354000
324,Thomas Nangle,Zimbabwe,800479460,Start,17354000
325,Fay Chung,Zimbabwe,800705666,C,17354000
326,Timothy Stamps,Zimbabwe,800986051,C,17354000
327,Alfred Makwarimba,Zimbabwe,801370822,Stub,17354000
328,Elphas Mukonoweshuro,Zimbabwe,801488585,Stub,17354000
329,Elton Mangoma,Zimbabwe,801497420,Start,17354000
330,Sam Levy,Zimbabwe,801716406,Start,17354000
331,Humphrey Gibbs,Zimbabwe,801718040,C,17354000
332,P. K. van der Byl,Zimbabwe,801795215,FA,17354000
333,Clifford Dupont,Zimbabwe,801876681,C,17354000
334,Lance Smith (politician),Zimbabwe,802151785,B,17354000
335,Edna Madzongwe,Zimbabwe,802259324,Start,17354000
336,Desmond Lardner-Burke,Zimbabwe,802930161,C,17354000
337,Fidelis Mhashu,Zimbabwe,803084855,Stub,17354000
338,Promise Mkwananzi,Zimbabwe,803579259,Start,17354000
339,John Bredenkamp,Zimbabwe,803620246,C,17354000
340,Frank Rhodes (British Army officer),Zimbabwe,804040348,Start,17354000
341,Ernest Lucas Guest,Zimbabwe,804101492,GA,17354000
342,Godfrey Chidyausiku,Zimbabwe,804650400,Start,17354000
343,Saviour Kasukuwere,Zimbabwe,804677245,Start,17354000
344,Walter Mzembi,Zimbabwe,804678140,Stub,17354000
345,Richard Hope Hall,Zimbabwe,804743937,B,17354000
346,Crosaire,Zimbabwe,804806363,Start,17354000
347,Kembo Mohadi,Zimbabwe,804811059,Start,17354000
348,Learnmore Jongwe,Zimbabwe,804844902,Start,17354000
349,Gaston Thornicroft,Zimbabwe,804877226,Start,17354000
350,Lovemore Madhuku,Zimbabwe,804895632,C,17354000
351,List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,Stub,17354000
352,"James Graham, 7th Duke of Montrose",Zimbabwe,805372073,C,17354000
353,Ahrn Palley,Zimbabwe,805960143,C,17354000
354,Joice Mujuru,Zimbabwe,805993308,C,17354000
355,Allan Savory,Zimbabwe,806153816,GA,17354000
356,Ian Smith,Zimbabwe,806532780,FA,17354000
357,Ignatious Chombo,Zimbabwe,806656210,Start,17354000
358,Robert Mugabe,Zimbabwe,806814411,FA,17354000
359,Garfield Todd,Zimbabwe,807097467,C,17354000
360,Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,C,17354000
361,Douglas Hamilton Ritchie,Zimbabwe,807159903,C,17354000
362,Godfrey Huggins,Zimbabwe,807160082,C,17354000
363,Guy Georgias,Zimbabwe,807196681,Start,17354000
364,George Hackwill,Zimbabwe,807283218,C,17354000
365,Grace Mugabe,Zimbabwe,807337237,GA,17354000
366,Henry Everard,Zimbabwe,807425613,Start,17354000
367,John Wrathall,Zimbabwe,807425747,C,17354000
368,Guy Clutton-Brock,Zimbabwe,807442408,Start,17354000
369,Template:Uganda-politician-stub,Uganda,391862070,Stub,40141000
370,Template:Uganda-mayor-stub,Uganda,444767727,Stub,40141000
371,Yosia Nadiope of Busoga,Uganda,655390291,Stub,40141000
372,Patrick Mutono,Uganda,684295893,Stub,40141000
373,Stanislaus Okurut,Uganda,689614169,Stub,40141000
374,Charles Oboth Ofumbi,Uganda,693292931,Start,40141000
375,Pumla Kisosonkole,Uganda,693388584,Start,40141000
376,Francis K. Butagira,Uganda,707473503,Start,40141000
377,Otema Allimadi,Uganda,708054598,Stub,40141000
378,Omwony Ojwok,Uganda,713020154,Stub,40141000
379,Jachan Mandir Omach,Uganda,715433158,Stub,40141000
380,Onegi Obel,Uganda,717146307,Start,40141000
381,Saleh Kamba,Uganda,720059752,Stub,40141000
382,John Kabaireho,Uganda,723957779,Stub,40141000
383,Tete Chelangat,Uganda,724554948,Stub,40141000
384,Sarah Kanyike,Uganda,725742962,Stub,40141000
385,Gagawala Wambuzi,Uganda,726767754,Stub,40141000
386,Julius Wandera Maganda,Uganda,726918511,Stub,40141000
387,Haruna Kasolo Kyeyune,Uganda,726919678,Stub,40141000
388,Yabezi Kiiza,Uganda,736273855,Stub,40141000
